Comentario Original,Ubicacion Encontrada
"My boyfriend and I did the snorkeling in Cabo Pulmo and it was an adventure. We had a 2 hour drive from Cabo San Lucas which was in a clean and cool sprinter van. When snorkeling the guide led us to 4 different spots and we were able to see various fishes even sea turtle and manta ray! Boat ride was rocky and I did get seasick but my boyfriend was able to manage, just as a heads up for those who are first timers! Even people in our group who are well experienced in snorkeling before were getting queasy. But overall, Cabo adventures provided what was promised in description and we had a great time. Thank you to our driver Gabriel and the Tornado Dive Center for the experience!",sea
"Luis, Pepe and Gil were great and very passionate about guiding us through both the desert and beach ebike ride. This was my wife and I's first time on an ebike, neither one of us felt unsafe or unprepared prior to hitting the trails with ample instruction given and riding practice.. We got to see dolphins and whales surfacing right off the beach, that was pretty amazing. Our ride ended with making our own margs and enjoying them with some Mexican cuisine made on their campus. When we come back to visit we will book another #CaboAdventure, we felt very safe with them, they were a class act. We also learned a little about how to make chocolate from the Mexican cocoa bean.",beach
"My partner and I participated in the Sunset Sailing. The scenery and vibes were amazing, however in the first 30 minutes we both got sea sick and threw up the remainder of the ride. The tides were very strong and it was not a pleasant experience. The staff was truly amazing. They gave us both water, and ice chips to help with the sickness. We wish we could have really enjoyed the experience more but our bodies did not like the sea. Never again lol.P.S. I would recommend eating hours before and not the food the provided. It wasnât tasty and it probably added to our sea sickness.",sea
"Whale watching was superb. A very nice boat with good seating and a quality lunch with seconds if you like , with plenty to drink. Very friendly staff and service. They will offer quality photos at a fair price.",sea
"I did the whale shark swim with this company.  I had a great time, our tour guide did a great job.  I can't remember his name, but he's tall with short hair and into rock climbing.  I feel like this guide truly cared about the conservation of the whale sharks and was very informative about the species.  Sometimes people claim they care about the conservation but don't really SHOW IT.  This guy showed it, he was passionate about the safety of the animal.  When I originally scheduled I scheduled for Feb, 14.  My plans ended up changing due to a cancelation from an unrelated scuba diving shop, and I walked down to the Cabo Adventures building in the Marina and they were happy to rearrange my date to Feb 15, in order to accommodate my scuba diving with the other company.  They didn't try to charge me extra or give any hassle.  They just said ""Let me see if I have a spot open.  Yes, I do."" and I was changed over and good to go.  I appreciate the ease with that.  I had signed up for hotel transport, but I was staying in the Marina so they said to walk down to the shop instead (like a 4 minute walk) which was fair.  The location of the shop is convenient if you are staying around the Marina.  It's also nice and clean inside.  So I waited for 15 minutes until the group and guide were all there and we boarded a shuttle to La Paz.  They gave us a bagged sandwich, chips, and some juice for the ride.  I didn't expect that and it was nice.  The lunch that was provided at the restruant was also good.  It was a cute little restruant and we sat at tables in the sand of the little beach.  I enjoyed the food.  We did see one whale shark and were able to swim with it 5-6 times.  They took a video with a go pro, but the water was really murky ( that's all dependent on mother nature).  They offer to sell you the video and some pictures at the end but it is WAY overpriced.  $50 for some go pro clips where you could barely see the shark!  They offer to put it on a zip drive and the zip drive is pretty much the cheapest quality zip drive on the existence of the earth.  It looks like the overhead on that is probably around $2.50.  You guys need to be more reasonable on the videos and pics and not try to start out with some ungodly high price for it- (marketing trick).  Anyhow, I really enjoyed the excursion.   I saw the beautiful giant of the sea very close up.  I had a great lunch.  All in all it was a fantastic day that will be in my memories forever!","beach, sea"
"Whale watching trip was fun and very educational. Saw a ton of wildlife including sea turtles, marlin, dolphins, sea lions, and of course whales. Unfortunately my picture taking stinks when it comes to capturing breaching whales.",sea
"Our family did the Snorkeling and Sea Adventure. It was fantastic. Our guides Pancho, Carlos, and Ray and the equipment guys were all awesome. They are punctual and safe. They have lockers, but it is easier to just bring a water tight bag and pack light. Everything is provided. While you're Snorkeling, kayaking, and paddle boarding your stuff will be safe in the boat. We saw whales close up on the ride out and all sorts of sea creatures on the reef while Snorkeling. It was like swimming in an exotic aquarium but with waves. Great all the way around and purchasing through Costco made it a great deal.",sea
"Do NOT book with this company. If I could give them 0 stars I would. They ruined our honeymoon! We booked at the resort with one of their representatives. We wanted to book two excursions but she convinced us to do this deal that was 3 for the price of two. We were not really interested in anything else but picked one just because it was free. Well we only got to attend 1 of the 3 and tried to get a refund before the 48hr cut off. They did not refund us, they still continue to give us the run around even if its been months. We lots close to 1000$ CAD. Happy Honeymoon to us.

Also the only one we attended was  the Cabo snorkel and lands end arch, it was terrible. They advertise it as on lovers beach but its no where near that. Its also so deep where they off load you that you dont see barely any fish! It was horrible experience.

I highly recommend Wild Canyon instead. We did a day with them and wish we wouldnt of pre-booked with Cabo adventures as they were more organized and everything was near by. No wasted travel time!","beach, lovers"
"Fishing, whale watching, Sea Lions! We got to see it all!",sea
Michelle was an amazing guide! Mario spotted the whale sharks very quickly and was able to get everyone amazing views alongside the whale shark. Incredibly impressed by the care and concern for the sea and it's creatures.,sea
"Cabo Adventures Off Road (Polaris Side by Side) with Damien and Noriega as the main guides. Took about 15 minutes to get from hotel to the Cabo Adventure main location, then 1hr bus ride to Tierra Sagrada. Started with about a 1hr tour of the Eco Farm (ate chocolate made there, pictures with goats and Parrots that were very well trained). Then a 2hr drive on the Polaris RZR with a chance to switch seats at the halfway point. We had a mechanical issue that the crew was very quick to swap us in to a spare RZR. The end of the ride was at the Eco Farm, with cheese or cheese and chicken Quesadilla, free Pacifica beer, and ended with a few shots of different tequila. Then a 1hr bus ride to Cabo San Lucas and then shuttles to your hotel. The staff were great, and the family enjoyed it (some of us more than others). I would recommend this to anyone who wants to spend a day on an adventure. About 8hrs from door to door.",sea
"We were extremely disappointed with the Outback and Camel Safari and feel we wasted our day attending. It was NOTHING like the description in the catalog provided to us - âLive an amazing eco-adventure in the countryside of Baja California. Take a nature walk then board an open-all, 4x4 military-style Unimog to continue deeper into the rugged Baja outback. View ancient cacti that live in the sandy pathways, and keep an eye out for chipmunks, foxes, deer and 'caracara"" falcons who live and hide in the desert. Next, ride a camel along the beach at Rancho San Cristobal, enjoying breathtaking views of the ocean.â The catalog also stated to bring âSwimsuit and towel for the cenoteâ.We were picked up from our hotel at our scheduled time for the hour long drive to the park. They promptly checked us in as soon as we arrived and told us our tour was scheduled to start in 30 minutes. A while later one of the guides came out and mentioned that a group from another hotel was running late. They proceeded to take us through presentations about plastic recycling, donkeys, goats, and finally cocoa beans. Once these presentations were completed, we waited about 10 minutes before another set of guides came out to split everyone in 2 groups. From this point on, cameras and cell phones were forbidden. They walked us to some benches to educate us about camels and wait for everyone in our group (about 17 people) to take several group and individual pictures with a camel. A few people complained to our guide Bill about the amount of time wasted up to this point. After a brief safety briefing and helmet fitting, we mounted the camels and walked up and down the beach for about 20 minutes. They fed us lunch outdoors (with no shortage of flies) and gave us a few shots of tequila before loading us on the back of a truck to take us to the exit. When our driver picked us up to return us to the hotel, we asked about stopping at the cenote. He said that portion of the trip was canceled due to rain making it too muddy. Turns out there are no cenotes in Los Cabos! Based on the catalog, this was supposed to be a 4 hour trip plus transportation. The van ride was an hour each way. Our 6 hour trip, turned into 8 hours with only about 20 minutes of it actually riding a camel.",beach
"Booked the sunset cruise to see the arches with my friend. We are in our late 20s. Hotel pickup/drop off was as expected. Signs urging for tips in the bus was tacky.  Arriving at the Cabo adventures building was a bit chaotic, so I'm glad our driver told us where to go as there were many people and tours gathering. We then took a very sunny, 5 min walk to the boat. It was about a 40 foot sailboat and the best views were on the front of the boat. I'm 5""9 160 lbs and found the seating to be cramped for over a two hour trip. I had a tiny slice of cushion to myself and my butt was numb after about 15 min. No back support, felt like I had less of a personal bubble than on an airplane. My friend had a lady keep bumping shoulders with her and I could barely stretch out my legs and relax without having to move them to let the tour guide walk by. The worst part, and a big part of my low rating, is the fact that there is this obnoxious photographer on board taking photos throughout the trip. It felt forced and was quite intrusive to have to keep smiling at this random lady so she could take photos we weren't the least bit interested in buying. It felt like I was the bride at a wedding there were so many photos taken. After the first 45 minutes or so she got the hint and stopped forcing us to pose. The food was not great. Guac with store bought chips, tasteless pasta salad, salad with a couple grape tomatoes, and bread.  Lettuce kept flying off my plate. And trying to drink on the boat was a joke, kept spilling on myself and I hadn't had any alcohol before the boat. They gave everyone a welcome mimosa and then took drink orders. The wine left lots to be desired. Music on the boat was too loud and the same songs were on repeat. I heard one song three times! Overall, despite the great views the atmosphere wasn't what I was hoping for. I wanted to sit back, relax and chat with my friend. But it was too loud, cramped, and felt like I had paparazzi around me.",sea
"The Luxury Sunset Sail made for a terrific day with my dad. Danny, Ben and photographer Fernanda were an outstanding and caring crew. The tour company took obvious efforts to ensure that the boat was well sanitized and that the passengers abided by safety precautions.We loved the food (exceptional ceviche, shrimp & guacamole among other great items), the drinks (wide selection, plentiful, and excellently made), the sailing (the boat was high quality, and picked up impressive speed while feeling safe & secure), as well as the time spent snorkeling (beautiful fish, and even a Tortuga). We appreciated the photo opportunity next to the Cabo Arch / Lover's Beach.All-in-all, this made for a wonderful, memorable day that was well worth the value. Thank you, Cabo Adventures!",beach
"Went scuba diving with Angel. Did a two tank dive at Land's end and pelican rock. Angel was a total professional,  and offered great service. The dives were great,  with natural underwater sand falls and rock formations as well as plenty of life and a small wreck. But the best part was how easy and professional the set up was. Equipment was new and well maintained. Angel is also an instructor and I can't imagine a calmer, more professional person to learn from. Highly recommended.",land's end
"Went FIRST time for scuba diving. The instructors were great! Equipment was good. Unfortunately I couldn't do the dive.... I was able to go down all the way to the shallow bottom sea floor but while learning how to clear water from my mask there, I did something silly and filled half my mask with water. I kind of panicked and gestured to go up. I tried twice more but unfortunately couldn't do it.....and finally gave up. Hopefully on one of my next trips, I will be able to dive successfully!",sea
"I did the Sea of Cortez swim with seals boat tour, our guide was Michelle and she was super energetic and fun.  I felt safe on the bus ride and safe while in the water snorkeling. Good food as well! I highly recommend it!","sea, cortez"
"Booked 3 adventures with Cabo Adventures. Bought two adventures got the third for free!

The afternoon sailing trip was perfect.
The boat had plenty of space, the tour guides and service were great. It was a perfect blend of relaxation and excitement. The boat was in great condition and the option to paddle board or snorkel is a nice touch. They provide a  good light lunch and plenty of drinks.

Important note, make sure you understand the shuttle times. The shuttle back to hotels is every two hours starting at noon. We missed our shuttle so had to wait almost two hours for the next one. Good thing is you can check out the marina plaza while waiting for the next shuttle. Their facilities are located on the marina plaza.

Leo is an awesome tour guide.

Dolphin swim was awesome!!! Better than expected and worth every cent.. My wife and I had a great time. The staff were great, facilities are awesome and the dolphins swim was a true life experience.. Weve swam with Dolphins before on other vacations and this was the best by far... highly recommended :)

Note: the pictures are a little pricey, so be prepared if you want them!

Off road Polaris side by side excursion.
It was awesome. They took us to an off road trail in the desert and along Baja race trails. The machines are awesome, 900cc, new 2017 units. The trail was up and down mountain sides, through a river, got totally wet and along a beach on the ocean. Lots of turns and different terrain. Got to open them up as well.
Ive done theses excursions in Cancun but this was the best by far!!! Guides are awesome.
I totally recommend it, suggest bringing a change of clothes though fir the trip back.
Travel to and from about 45 mins.. provided a good lunch on the beach too.

Thank you Cabo Adventures, it was a great time!!!!

Thank you
Dave",beach
"Best of the best!My top 5 activities so far!1. Ebike (so much fun! Luis showed us some bonus trail with some challenging sharp turns. Definitely a must try! And the beach? Amazing!)2. Ziplining (There were 6 ziplines!)3. ATV4. Off Road5. Sunset sailingTour guides that made the whole experience more fun.Luis Aleman and Gil (Photographer) hands down to being knowledgeable and professional. Very helpful with everything. These guys needs a raise! Donât forget Carmen from the frontdesk. She was very helpful and informative all throughout.Jesus and Brandonâs ziplinining crew. Funny guys. You will definitely feel safe with them. Such a fun filled experience.Tips:Wear appropriate clothing, know your activities. Wear comfortable closed toe shoes. For ATV, note to self: do not wear white shoes ðFor Ebike and ATVâs. Ecofarm tour is included and some margarita making and tequila drinking! Prepare to get a little buzz âºï¸ Thereâs also Mexican buffet in the end.Donât forget to tip them! Show your appreciation by tipping!",beach
We booked the Sea of Cortez. It was the most breathtaking experience of my life. Michelle our tour guide was awesome!!! Ruben the photographer was awesome!! The staff was awesome!! The views are breathtaking. The boat is large and felt like we had it to ourselves. The baby sealions also kept us entertained. Thanks to Michelle and crew for one of the best adventures I have had in my life!!!!,"sea, cortez"
"My husband and I have scheduled three adventures through Cabo adventures and have completed two thus far. Louis Chichas was our guide on the camel tour and he was the best! So funny and informative. We really enjoyed him. Thank you Carlos for escorting us and Bob Marley (our camel) on the beach walk. We also did the UTV ride through the desert and Juan was our guide on that. He was super as well and very informative. Jose, Gonzalo, fredx, and  zorios were also with us and took amazing pics and were very helpful and informative. Jose, thank you for the awesome pics!!!! Juan took exceptional care of us when we went to eat and hydrate :), thank you!!! Loved everyone in the petting zoo. They were so sweet and informative. I wish I could remember everyoneâs name. Thank you to the young lady that taught us about the camel poop and making paper. Thank you to the gentleman for being so informative about the mules, ponies, and goats. We enjoyed our time with you.  Thank you Pepe for the wonderful chocolate you made and for the mezcal ð. Thank you to the gentleman checking us in for being so welcoming and nice. If youâre booking adventures this place is a wonderful time with wonderful people.",beach
"Unforgetable experience. We swim with the whale sharks, wonderful giants of the sea.
Our guides Michelle, Jose, and Mario made the tour fun and informative.
We had a great time and learned a lot.
Thanks Cabo Adventures",sea
"My family reserved the luxury sailing excursion. The staff was terrific and  entertaining.  Also, there was a photographer on board to take pictures as well. It was worth it. This wasn't a whale watching cruise but sailing back from Santa Maria Bay we saw several Hump backs. Seeing them in person was unbelievable!",santa maria
