id,Time,Comment,Time_owner,Comment_owner,Score
613,2 months ago,"Isaac, e bike tour guide, was awesome! My boys and I had a blast on this adventure! Followed by a delicious chicken mole lunch and an even yummier margarita we made ourselves! Highly recommend this place and Isaac needs a raise!! Y hola a Su madre de Isaac ;o)",,,5
614,2 years ago,"I wanted to do the sailing tour, and I got the whale watching for free! The house were phenomenal and the pictures taken were great as well! I definitely recommend!",2 years ago,"Thanks for the awesome review, Laci!We work hard to meet expectations like yours, and we’re happy to hear we hit the mark for you. Come back and see us soon!",5
615,2 months ago,"We had a great time on the two bay luxury snorkeling tour with Cabo adventures! Our crew of Luka, Mario, mia, and johnny were very professional, friendly, and created an enjoyable tour experience.",,,5
616,3 months ago,"Had a great sunset dinner sail with Captain Pablo, first mate/bartender Jaros and photographer Leanette. Beautiful evening, saw a whale along the way! So much fun! Thank You!",,,5
617,a year ago,"Very friendly, honest staff. I enjoyed two adventures. Both were terrific. I recommend the catamaran and snorkeling",a year ago,"Thanks for the awesome review, Andrew! We work hard to meet expectations like yours, and we’re happy to hear we hit the mark for you. Come back and see us soon. Cheers!",5
618,3 months ago,"Isha was great. Very informative, very hospitable, super cool and friendly. Camels were so so. 10 minute walk on beach but then again what do you expect. Food was so so, and tequila tasting was great only because of Isha but taste and quality was so so",,,5
619,2 months ago,Captain Cesar and his crew did an excellent job with of sunset crew.  Hope to travel with them in the future. Thank you for a great experience!,2 months ago,"Thank you for having taken the time to post your wonderful review of Cabo Adventures and sharing how much you enjoyed our Luxury Sunset Sailing adventure. We were truly honored to read that everything you experienced was great, including your time with our team members.All of us here at Cabo Adventures look forward to welcoming you back soon.",5
620,2 months ago,"Carlos, Mago, Gus, Arturo, Abraham, Angie and Claudia did a great job. Always felt safe and had an awesome time. Very adventurous",,,5
621,3 months ago,"Booked our camel tour online and it was a really secure transaction. Michael was our tour guide and let me tell you that he was knowledgeable, funny, energetic and extremely friendly. Can’t wait to book our next trip.",,,5
622,a year ago,"Karen the photographer and David the trainer were so friendly and professional! We loved the experience so much!  Our family had such a great time! The dolphins were amazing! Jagalla was gorgeous and playful. She was the dolphin that we interacted with. The other dolphins, Kalea and Gandalf were very fun to watch also. They seemed very well taken care of and happy. We would recommend this experience to everyone! Thank You Cabo Dolphins! Gracias David and Karen!",a year ago,"We really appreciate your kind comments, Karen and David will be happy to receive your feedback.From all the Cabo Adventures team we thank you for sharing your experience with other Adventurers!",5
623,10 months ago,"We did the dolphins experience and Paola was wonderful! The whole experience was just perfect. She was extremely knowledgeable and respectful and fun! 5 stars hands down.The only thing I did not like was the price of pictures. For two people, it is not always worth spending $200 for the minimum package. I wish they offered a lesser priced package and we would have purchased it. The pictures were lovely and our photographer was so sweet and talented, but from this trip, we just took the memories with us.",10 months ago,"It’s great to know you had such a great experience with us. On behalf of everyone in our team, thank you for your preference and see you soon!",5
624,a year ago,"Best experience ever!!  Dolphin VIP was on point.  A but more than other places in $$$, but worth every penny!  Edson was a great instructor, Shelly did our pics, and Alli was our Dolphin that was so fun and loving.",a year ago,"We are beyond happy to read about you and your experience!It’s absolutely rewarding to know you had such a great time, there is nothing more important than our guest's satisfaction, so many thanks for sharing how amazing your adventure was!We look forward to next time!Best regards,",5
625,7 months ago,The guides were awesome!! Amazing experience.. snorkeling and  kayaking�,7 months ago,"It’s great to know you had such a wonderful experience with Cabo Adventures. On behalf of everyone in our team, thank you for your preference and see you soon!",5
626,a month ago,"Cabo Adventures was an amazing portion of our vacation! Marcelino was the best tour guide ever!He took us through Todos Santos, starting with burritos and coffee, then touring the beautiful town. We saw beautiful pearls at the jewelry store, lovely upcycled art, and ate some delicious popsicles (paletas).We also visited Blankets Factory Justina, where we met the makers and had the opportunity to learn the process and purchase.We then went to Tierra Sagrada, where we got to meet a camel and ate a buffet lunch. We also tasted tequila and got to learn about the differences, and we had some local Licor de Damiana aka the Baby maker, which was smooth and sweet.If you go to Los Cabos, this is an amazing way to learn about the local culture.",,,5
627,a year ago,"Highly recommend this company and their Whale Shark tour!  Well organized company.  My pickup from the hotel was early, leaving me lots of time at the Cabo Adventures facility in CSL to have a coffee and enjoy the attentions of the dolphins in their aquarium (who seemed even more interested in the people than we were in them, if that’s possible).The trip to La Paz was about 2 hours in a comfortable bus.  Michelle our (very energetic even on just one cup of coffee 😁) guide gave a good briefing on the whale shark experience and shared some of her clearly voluminous knowledge about these lovely animals. Scenery was nice, but eventually cactus after cactus got repetitive and I dozed off.At the marina in LP, they company was well organized, distributed wetsuits and snorkelling gear and then we were off to the boats.  Our “Captain” was Jorge and our dive guide was Mario.  Mario gave a thorough explanation of how the process would unfold, what the rules were and how to maximize our experience.The ride out to the sanctuary took a fair bit of time, but we only waited about 5 mins before we were “cleared in” to start looking for the whale sharks.I had presumed this would be a “maybe you see one, maybe you don’t” sort of tour, but was completely wrong.  We were able to locate and swim with, by my count, six different sharks ranging in size from 20ft up to 45 ft.  Everyone got 3 “jumps” in, each of which was about 10 mins in total.Mario got lots of video and photos with a GoPro which was available (for a $50 cost) after the dive.  If you have access to an underwater camera, particularly a 360 camera, I’d highly recommend bringing your own as well.  You don’t really “dive”, so no need for something waterproof to 30m or anything.Had a nice lunch of tacos at the marina afterwards and then a (much quieter) 2 hour trip back to CSL.  Most people slept the whole way back.The tour is sort of pricey, but it’s a full day event and (IMO) well worth it!",a year ago,Thank you for taking the time to write such a wonderful review about Cabo Adventures. We are delighted to read you enjoyed your adventure and appreciate your comments regarding our service.We look forward to welcoming you back in the near future and creating more unforgettable memories together.,5
628,a year ago,Nice cruise with a good duration and brief history lesson. Food and Drinks could be better but I would go out with this crew again.,a year ago,All of us at Cabo Adventures look forward to welcoming you back in the near future and creating more fun memories. Hasta pronto!,4
629,3 years ago,"I did multiple activities with Cabo Adventures set up by the all inclusive resort I stayed at while in Los Cabos. I did the luxury sailing experience which included drinks, food, snorkeling, and paddleboarding. Our photographer captured great pictures.

Ziplining was awesome! Ladis, Miguel, Evaristo (Uncle Wayne), Dioney, Mariano, & Pamela or Fabiola(our photographer- might have her name wrong) were great. I'm missing a few names from our tour, but they were all funny and kept us safe. The ziplines weren't the best that I've ever been on. Their process is different for riding, which I enjoyed. The pendulum swing, propelling 98ft down rocks, and the superman line at the end were my favorite. Pics and videos were great.

Finally, flyboarding was a great experience. I enjoyed it and the instructor was professional and knowledgeable. I felt very safe with him.",,,5
630,3 months ago,"Chicas was a great guide at Outback and camel safari. He was very knowledgeable , entertaining . Bit disappointing photos were so expensive as we couldn’t afford them. But highly recommend the tour and Chicas",3 months ago,"On behalf of everyone at Cabo Adventures, we truly appreciate your kind words and look forward to next time!",5
631,3 months ago,"We did the Zipline and atv combo... Amazing team of Joel, Mago, Evaristo,  David and Virgilio. They took care of us for the whole trip... Safe, funny and excellent team. Made my kids feel happy.Highly recommend them.Also the ending was with amazing natural food with freshly made quesadilla.",,,5
632,2 months ago,Caesar was so much fun! I loved the jokes!,,,5
633,a month ago,Adrian and his crew were great for our snorkeling and kayaking trip! Really great time seeing lovers beach and the arch too.,a month ago,"We truly appreciate your review!It’s great to know you had such a wonderful experience with Cabo Adventures. On behalf of everyone in our team, thank you for your preference and see you soon!Sincerely,",5
634,6 months ago,"Emi was great and very attentive! Even when there was a wait to go out they took us to town so we weren’t just waiting around at the marina. Joe was absolutely phenomenal to snorkel with, he was very knowledgeable and made sure everyone got a chance to get close to the whale sharks. Such a surreal experience even with the wait I would do it again in a heart beat! Hector was a great driver too!",6 months ago,"We truly appreciate your comments.We are thrilled to read that you enjoyed every moment of the Whale Shark Encounter, and that the crew’s service and performance was so fantastic! Joe will be happy to know how much you enjoyed your experience with him.Many thanks for your visit and warm regards from the Cabo Adventures team!",5
635,3 years ago,"We did the Sunset Dinner Sailing excursion and thoroughly enjoyed it.  The sailboats in the outfitters fleet all looked newer and in top shape.  There were 16 of us onboard and we were not crowded in any way.  Seating was comfortable, food and drink was acceptable.  Our tour guides Pablo and Dany were personable and seemed well experienced.  I would definitely recommend taking a jacket along as it got chilly when the sun went down.  Blankets were provided and required.  We went with Cabo Adventures based partly on the fact that they provided transfers to and from our resort, and our concierge offered decent prices. Was a great experience and I would recommend.",,,4
636,2 months ago,Jorge was amazing. You must request him for you tour. He is very knowledgeable and made our experience very good. His personality is the best.,2 months ago,"We greatly appreciate your kind comments. We will make sure to pass on your feedback to Jorge, who will be thrilled to hear it. On behalf of the entire Cabo Adventures team, we would like to thank you for sharing your experience with fellow adventurers.",5
637,3 months ago,"What a wonderful tour! Camels on the beach, lunch and tequila tasting. Jorge was the best! We had so much fun❤️ definitely a must do!",,,5
638,7 months ago,"Let me put into perspective how awesome this place was� I went on three excursions in 2017 and came back five years later to leave a review. The staff was friendly, I got a great deal, and each experience was well thought out where we had a blast the whole trip. Everything was organized and easy I�ve used other companies since this trip and they were simply the best. I�ll use them again for sure!",7 months ago,"Thank you for taking the time to write such a wonderful review about Cabo Adventures. We are delighted to read you enjoyed your adventure and appreciate your comments regarding our service.

We look forward to welcoming you back in the near future and creating more unforgettable memories together.",5
639,5 months ago,"This luxury sailing excursion started out great and was a lot of fun. That is until it was time for tips and I unfortunately realized I had forgotten to bring cash off the cruise ship. Carlos the ship captain went around from person to person with his ""happy hat"" as he called it and when he got to us and I declined to put money in due to forgetting my cash, his demeanor instantly became cold and he began ignoring all my questions. Super disappointing and a poor way to treat paying customers. Just because I did not have an extra few bucks on me for a tip, I STILL paid about 250 for me and my husband to go on the excursion in the first place. There are multitudes of companies offering sailing tours in Cabo San Lucas, next time I believe I will go with a different company.",,,3
640,3 months ago,"The ATV adventure was extremely amazing. The views, the speed, everything was incredible. Alian and Rolando made the experience very fun and funny. I most definitely recommend this to anyone!",,,5
641,2 months ago,Damian was a phenomenal host and I had a great time doing ATV riding with him! He made my experience in Cabo phenomenal. Thank youuuu!,,,5
642,5 months ago,My wife and I had a dolphin experience. It was super amazing! Paola and Tlatoani were so fantastic.  Paola was so great at explaining things and telling us so much about the dolphins. It was truly a wonderful experience.,5 months ago,"We really appreciate your kind comments, the team will be happy to receive your feedback.From all the Cabo Adventures team we thank you for sharing your experience with other Adventurers!",5
643,5 months ago,"Overall a poor experience we chose a Photo Whale Watching experience assuming the skipper would choose to get the boat as close as legally permitted with no other boats in the way on this he failed repeatedly, even when the whales appeared outside of the other boats close to use within 2 minutes we were at the back.The additional issue was the constant inane chatter from Karla the guide it never stopped throughout. We spent over 30 minutes of the tour getting out to open sea whilst some of this was due to harbour restrictions the vast majority was trying to show us amongst the other boats the arch and beaches which whilst pretty wasn’t the point of the tour.Once at sea we did see whales but the majority of the time with the sun in our face making photographs all very prone to becoming silhouettes. No drinks were offered throughout the tour although supposedly included.To top it all off when we did have whales close by few other boats and positioned well for photos we were pulled away as we needed to listen to a hydrophone that heard nothing so a recording was played losing time with the whales we returned to the dock approx 20 mins earlier than had been suggested for the tour.",,,1
644,6 months ago,"Best time ever!  First time whale watching and it was so exciting,  the whales were so close and not mention, the dolphins, seals, sea turtles.   Turned out to be a great day for seeing everything we hoped for.  The boat crew was awesome!!!",6 months ago,"It is great to know you enjoyed our Whale Watching adventure!We are happy to read that meeting these magnificent creatures was a highlight in your trip, indeed this a unique experience and we hope to welcome you back soon to create more unforgettable experiences. From all the Cabo Adventures team we thank you for sharing your experience with other Adventurers!",5
645,a month ago,Nice sea and snorkel adventure in cabo. Power snorkel could've been better/faster. Would've been nice to stop on the beachfronts at the arches for at least a few minutes.,,,5
646,4 months ago,"They were amazing , Tito our guide was the best, he even helped me take pictures inside the cabin asking me to pose . They treat you really nice , feel  like customer service is in their heart. Highly recommended.",,,5
647,4 months ago,"My husband and I  did Outdoor Aventura with Cabo Adventure. We went on 3 different zip lines, repelling, rock climbing, and pendulum jump. It was tons of fun! Our tour guide Joel, Evaristo, Brandon, and Abraham were one of the best ones. They were so helpful and very encouraging, funny, and entertaining. If there was 10 stars we will give them 10. Definitely recommend this tour with these guys.",4 months ago,Thank you for taking the time to write about your experience at Cabo Adventures! We are delighted to read you enjoyed our Outdoor Adventure. Our team takes service very seriously and it is highly gratifying to read we achieved our ultimate goal of providing an exceptional experience for you and your family! We will pass along your comments to our team members.We certainly hope to welcome you back in the near future.,5
648,3 months ago,"Not worth it. They take you to one bay, then go 5 min and you are in another place. The waters are cloudy and freezing. Only a few fish. Not worth the money or the time. Don’t waste your time. The boat, crew, and food were good.",,,1
649,2 months ago,Had a greasy time on my ATV tour. Chino was our host and he made this the best excursion I’ve ever been on!! Would give more stars if I could.,,,5
650,2 months ago,"Very great, seamless and experience! The entire trip from hotel pickup to our day out snorkel was very easy and the service was very professional the entire time",2 months ago,"We truly appreciate your review!

It�s great to know you had such a wonderful experience with Cabo Adventures. On behalf of everyone in our team, thank you for your preference and see you soon!

Sincerely,",5
651,2 years ago,"I have done a lot of zip lining in multiple countries and I have to say this was one of the best experiences. It was not just ziplining but it also had tight rope walking and a bunge swing.  The gentleman were funny, personable, professional and made you feel safe.  I highly recommend this excursion.",2 years ago,"Thank you for your amazing review and comments, especially regarding the service you received from our team members.All of us at Cabo Adventures look forward to welcoming you back in the near future and creating more fun memories. Hasta pronto!",5
652,2 months ago,Jorge was amazing!!! He was so attentive and funny. We had a great time with the camels. Worth every penny.,,,5
653,2 months ago,Mario was absolutely amazing during our ATV outdoor adventure. He was great at making sure we were comfortable and enjoying our time.,,,5
654,5 months ago,"Recommend must visit, beautiful views sunsets and dinner, drinks all inclusive.",5 months ago,"Thank you for sharing your experience at Cabo Adventures!We are glad you loved it and look forward to welcoming you on a future adventure, during your next visit to Los Cabos.Warm regards",5
655,a month ago,We had a great time riding the electric bikes with Isaac! He was the best guide and treated us great! The food was delicious!,a month ago,"We truly appreciate your review!It’s great to know you had such a wonderful experience with Cabo Adventures. On behalf of everyone in our team, thank you for your preference and see you soon!Sincerely,",5
656,5 months ago,"Swimming with whale sharks was a fantastic experience. Expect it to be an all day event with travel and logistics, BUT the payoff was absolutely worth it. Seriously- I've done quite a few ""experiences"" in my life; this absolutely ranks extremely high.",5 months ago,"On behalf of everyone at Cabo Adventures, we truly appreciate your kind words and look forward to next time!Warm regards",5
657,2 months ago,"Damien was a phenomenal guide on our UTV excursion. His enthusiasm, guidance, and humor made the trip the most fun thing we did in Cabo",,,5
658,3 months ago,We had a great experience with Cabo Adventures. They took us to Tierra Sagrada. The staff was very courteous and friendly.  Alain was great as the leader of the ATV ride. David took some amazing pictures. I greatly recommend them to anyone visiting Los Cabos,,,5
659,3 years ago,"Had a pretty good time on the zipline adventure. Fortunately where we're located is the farthest from the ziplines so our bus rides were long (1.5 hrs each way). Our driver was great though, with awesome tunes.Zip lines were quite exciting if you've never been on one before. The climbing/ rappelling was also very nice. My complaint is they don't allow cameras and they sell very expensive. I would recommend bringing your own phone and sneaking a few pictures here and there when they're not looking.Cabo adventures has a very nice office by the marina.",,,4
660,3 months ago,"I would definitely book with Cabo Adventures again. The boat was nice and the staff incredible. The guide, Jorge made our trip! Food was much much better than anticipated.",,,5
661,3 months ago,"Jorge, Vianet, and Carlo were awesome! Jorge is incredibly knowledgeable of whales,  Vianey provided great food and drinks, and Carlo is a great photographer with great hospitality as well. Would definitely do this again and recommend to others.",3 months ago,"We really appreciate your kind comments, the team will be happy to receive your feedback.From all the Cabo Adventures team we thank you for sharing your experience with other Adventurers!",5
662,a year ago,Dolphin experience was BETTER than expected and than others we have been on!!!We are soooo glad we did this!(Well my kids) No phones or cameras allowed.Be prepared to pay for very awesome must buy pics 🙈DEFEINITELY RECOMMEND THIS EXPERIENCE,a year ago,"We truly appreciate your comments.It’s nice to know the service provided during your dolphin program was friendly and attentive. As a company, we welcome all comments since they help us learn and improve.Best regards,",5
663,4 months ago,"I just went on the ziplining adventure and Joel, Jesus, Erick, Virgilio, Abraham, Ladis, Brandon, and Evaristo were such an amazing group of guides. My family and I were a group of 7 of various fitness levels and no matter what, they were always taking good care of us. They all made us feel comfortable and safe while also keeping the experience fun and enjoyable. Each one of them was very personable and invested in ensuring we had a good time. You don’t need to speak Spanish (their English is very good). Overall, a great experience and I would definitely recommend.",4 months ago,Thank you for taking the time to write about your experience at Cabo Adventures! We are delighted to read you enjoyed our Outdoor Adventure. Our team takes service very seriously and it is highly gratifying to read we achieved our ultimate goal of providing an exceptional experience for you and your family! We will pass along your comments to our team members.We certainly hope to welcome you back in the near future.,5
664,2 months ago,Had a great tour today with the Outback and Camel Tour. Jorge our tour leader was great. A very informative tour with exceptional people who seem quite knowledgeable of the camels in their care.,2 months ago,"Thank you for your raving review!We are thrilled to read that you enjoyed every moment of the Camel Safari tour, and that the crew’s service and performance was so fantastic! It would be an absolute pleasure to have you back!Many thanks for your visit and warm regards from the Cabo Adventures team!Sincerely,",5
665,5 months ago,Cool place Sammy style.  Great Job,,,5
666,2 months ago,Cesar was the absolute best host Anna I loved the experience with him. So personable and knowledgeable. Would definitely recommend him whenever IOU visit!,2 months ago,"Thank you for your amazing review and comments, especially regarding the service you received from our team members.We can't wait to see you again and create more fun memories!",5
667,3 months ago,"Our experience with our ATV guide Alain was amazing!!!! So much fun :) first time on an ATV and they were so helpful and informative :) he treated us well, extra good (thanks for the tequila)",3 months ago,"We are happy to read you enjoyed our ATV Desert Adventure tour, and that the team service and performance was so fantastic! It would be an absolute pleasure to have you back!Many thanks for your visit and warm regards from the Cabo Adventures team!Sincerely,",5
668,3 months ago,"The guides (Damian and Mario!!)for the ATV tour were top rate. Funny, engaging, reliable and professional. This was a very fun excursion that I’d recommend for adventure seekers!",,,5
669,5 months ago,Paola was amazing! Extremely helpful and patient with me as I do not know how to swim and was nervous about the water. She made me feel extremely welcomed and safe. 10/10 experience!,5 months ago,"Thank you for your amazing review and comments, especially regarding the service you received from our team members.

All of us at Cabo Adventures look forward to welcoming you back in the near future and creating more fun memories. Hasta pronto!",5
670,a month ago,"We had an amazing time with Jose Luis. The one star is for the ridiculous pricing for photos, which we were not allowed to take our own or buy a single one! $599 dollars for photos (cheapest package) is a joke.",,,1
671,5 months ago,We did the Dolphin Family Encounter experience and the experience itself was wonderful. It was $468USD for a 20 minute experience for 2 adults and 4 kids. Why I give this only 1 star was because this company criminally attempts to exploit your desire to capture the memories. They don't allow you to bring a camera during the experience which we were ok with because we were going to buy the pictures. Well after the experience we go to buy the pictures and the cheapest option we are presented with is $519USD for all the pictures with no cheaper option. We left with no pictures and an experience so poor it completely ruined my memory of the excursion. Shame on this company for these tactics!!!,5 months ago,"We appreciate your feedback and the opportunity to discuss your experience with us. The welfare of our dolphins and guest safety during the program is our main priority; for this reason, we do not allow guests to take cameras, cell phones, jewelry or any other article into the dolphin habitat. We provide an optional photo experience and an observation area in which non-swimmers can catch those magical moments.The money from the swims & photos not only covers for the care, maintenance, and enrichment for our dolphin family but also allows us to provide you with well-trained, professional photographers and the best underwater equipment to capture that once-in-a-lifetime moment.Please feel free to contact us with any further questions or concerns at info@cabo-adventures.comOn behalf of everyone in our team, many thanks for your time and visit.",1
672,3 months ago,Such a wonderful experience! Alain was a great guide and took us all over on the ATVs. The food was wonderful as well. The pacificos were much appreciated!,3 months ago,"We truly appreciate your review!It’s great to know you had such a wonderful experience with Cabo Adventures. On behalf of everyone in our team, thank you for your preference and see you soon!Sincerely,",5
673,6 days ago,"Had a GREAT time snorkeling. Capt. Ivan, Guide Cedric, Toys Christian, Photo Jesus and Food Vicky",,,5
674,2 months ago,"Loved everything about it, it was such a great adventure. Damien & Chino made me feel secure, they’re the best & so welcoming!",,,5
675,3 months ago,"Nata; Jesus,chino were awesome , they made our trip and experience! This was our first time in cabo and we definitely coming back, snorkel and sun in mexico!",,,5
676,2 months ago,"Had a wonderful time riding the camels and ATV. The tour guides Isaac, Carla, Richard and Emilano were superb. One of the best experiences I've ever had",,,5
677,4 days ago,Kevin was great in this Arch tour in Cabo; very informative and enthusiam👍🏼 Same goes to Bill in Camels ride👍🏼,,,5
678,3 months ago,Pepe and the crew were outstanding. A fun activity and really good food at the end of the trip. Pepe even taught how to make our own margaritas!!!,,,5
679,8 months ago,"Had such a great time on our sail and snorkel adventure!  Eric, Iris, and Monica made our trip so fun.  They were engaging and attended to our ""thirst"" needs perfectly.  The pictures Monica took were beautiful and captured each person in our group perfectly! Eric was a wonderful captain and made sure we were comfortable at all times (you can request to be on his sailing), and Iris was a great hype gal!!  I can't recommend this tour enough!",8 months ago,"Thank you for your amazing review and comments, especially regarding the service you received from our team members.We can't wait to see you again and create more fun memories!Hasta Pronto!",5
680,2 months ago,"Richard Noriega is the best tour guide in the world, super fun, extremely funny, constantly attentive to us, I would absolutely go again don’t go to Cabo and not do this tour.   You will miss out.",2 months ago,"We truly appreciate your review!It’s great to know you had such a wonderful experience with Cabo Adventures. On behalf of everyone in our team, thank you for your preference and see you soon!Sincerely,",5
681,a month ago,"I always love an enjoyable time and being in the industry of service, I know what it’s like to be transparent, earn your service and your gratuity but ensure that you have a good time. Chino was all of the above and much more. Chino challenged us in our adventure, made us feel like he was one of us, and had our entire group in laughs. He is a symbol of Cabo and good times. Gracias Chino, hasta luego y Salud Compa!",a month ago,"Thank you for your amazing review and comments, especially regarding the service you received from our team members.We can't wait to see you again and create more fun memories!Hasta Pronto!",5
682,3 months ago,Our tour guide Chicas was absolutely the coolest guy and shared so much knowledge with us. We loved the camels and the lunch we had was delicious,,,5
683,2 months ago,"The zip lining at Cabo adventures was very safe and had very helpful guides. Ladis, Gus, chair, Lyan and Dioney did a great job and made the adventure a good time! Virgilio also did a great job capturing all the great memories we made today!!",,,5
684,3 months ago,"Pablo, Iris, & Mafe (our photographer) we’re excellent guides on our sailing adventure!! They were all so friendly and made our first time sailing a great success.",,,5
685,6 months ago,"Such an amazing experience that my husband and I will never forget. They went above and beyond to make sure we were having fun while also making sure we were safe. Unforgettable experience. I would highly recommend!! Our adventure team was Joel, Ladis, Dioney, and Claudia. They were all amazing! Thank you guys for such an amazing experience!!! You guys were the best!",6 months ago,Thank you for taking the time to write about your experience at Cabo Adventures! We are delighted to read you enjoyed our Outdoor Adventure. Our team takes service very seriously and it is highly gratifying to read we achieved our ultimate goal of providing an exceptional experience for you and your family! We will pass along your comments to our team members.We certainly hope to welcome you back in the near future.,5
686,3 months ago,We did two tours with Cabo Adventures - luxury snorkeling and whale watching.   We had a great time on both. They were very organized and attentive.,3 months ago,"On behalf of everyone at Cabo Adventures, we truly appreciate your kind words and look forward to next time!",5
687,5 years ago,"Fantastic company. We went on two tours with them and had an amazing time in each (sunset sailing and Sea of Cortez). Everything was very well organized, staff was fun and friendly, facility was clean, equipment was well kept maintained. If you're looking to go on an adventure in Cabo, I highly recommend them. Would definitely use them again!",,,5
688,2 months ago,Alain and Richard were great guides through the desert in side by sides. Fair warning: you will get wet and dirty so don’t wear white lol. So fun for the whole family!,,,5
689,4 months ago,"Our first time in Cabo and we chose to do the Cabo Adventures Zipline and ATV as a Christmas present for my son.First, this place is well organized and was not worried about safety at any moment. Second, the staff are absolutely amazing, friendly, and extremely friendly. Lastly, the food at the end is worth the trip alone! If we make it back to Cabo, we will most definitely come here again. Huge shout out to Jesus the photographer, Ladis, Jonathan, Erick, and Roy our guides, as they made the entire experience.",4 months ago,Thank you for taking the time to write about your experience at Cabo Adventures! We are delighted to read you had a wonderful time with us. Our team takes service very seriously and it is highly gratifying to read we achieved our ultimate goal of providing an exceptional experience for you and your family.We certainly hope to welcome you back in the near future. Until next time!,5
690,3 months ago,"Chicas was an amazing tour guide! He gave us all kinds of information on the camels, the cactuses, and the highlightwas the tequila tasting. Definitely enjoyed this excursion and would recommend it to everyone busting Cabo San Lucus.",,,5
691,a month ago,"So glad we experienced the sailboat excursion! Thanks Mario, Captain Pablo, and Elvia for your attention to all the details, making it memorable!",a month ago,"We truly appreciate your review!It’s great to know you had such a wonderful experience with Cabo Adventures. On behalf of everyone in our team, thank you for your preference and see you soon!Sincerely,",5
692,5 years ago,"This place is extremely committed to making sure you have a a great time doing some amazing stuff. We we're fortunate enough to have had two back-to-back activities with Cabo Advwntures.The first outing was Off-Road RZR trail zipping through dry riverbeds and finding awesome nature along the way. We saw wild goats, natural spring falls, migrating whales and desolate beaches. Totally exhilirating!  The food and drinks after were a perfectly prepared  sopes feast with aguas frescas all while being on a completely empty beach.Whale Shark swimming was our second experience. Unbelievable!  Alex, our tour guide and snorkel guide and photographer and general wealth of information around the flora, fauna, ecosystem and nature-loving community in BCS, made everyone feel at ease and helped those who were fearful or skeptical of going through with the adventure.Overall, Our guides make all the difference in making things go from great to life changing.  They were extremely knowledgeable, professional, and overall friends you want around you when you want to have a safe, fun time.I would rebooked these guys to anyone.",,,5
693,2 months ago,Jaros & Paublo were great! They kept the drinks flowing and made sure we were super comfortable snorkeling and on the ship. We would go again for sure.,,,5
694,2 months ago,Had the most amazing time thanks to our tour guide Chino! He made it so much fun! We highly recommend the Atv tour with Chino!,,,5
695,3 months ago,Alain was the best!!! Rolando the camera man was awesome and Emiliano was a great guide checking on us. This entire crew made this experience PRICELESS 🔥,,,5
696,2 months ago,"Bill was awesome. A perfect tour guide. Made the fun trip an exceptional one. So happy we had Bill. If I had a choice, I’d choose Bill everytime.  Gracias Hermano 🤙🏾🤙🏾🤙🏾",,,5
697,5 months ago,We had a great experience with Maria our dolphin expert and Debbie our photographer.  It was the highlight of our trip for our family of 8 with kids of all ages.  We highly recommend it to anyone.,5 months ago,"Thank you for your amazing review and comments, especially regarding the service you received from our team members.All of us at Cabo Adventures look forward to welcoming you back in the near future and creating more fun memories. Hasta pronto!",5
698,3 months ago,Pepe and his crew showed us an amazing time!  The bike ride is simply gorgeous!  The margarita making class at the end is magnifico!  This is our 3rd time doing this adventure with Cabo Adventures!,,,5
699,a month ago,Great team sailing us to the snorkeling destination.  Entertaining and funny. We saw humpback  🐋  on the way back to the harbor.,a month ago,"We truly appreciate your review!It’s great to know you had such a wonderful experience with Cabo Adventures. On behalf of everyone in our team, thank you for your preference and see you soon!Sincerely,",5
700,4 months ago,"Make no mistake this is a tourist haven.  If you want to get your feet wet by all means the staff there are really really cool. If you're a little more savvy, recommend finding a local guide that freelances.",4 months ago,From all the Cabo Adventures team we thank you for sharing your experience with other Adventurers!,4
701,a month ago,Abigail was our tour guide and she was amazing! Very personable and kind. 10/10 reccomend.,a month ago,"On behalf of everyone at Cabo Adventures, we truly appreciate your kind words and look forward to next time!",5
702,5 months ago,"We had a best experience using some of the services such as Dolphin watch and Whale Watching.For dolphin watch we do remember some names and want to thanks them Erik, Anahi and Brenda. Will do recommend if you are coming to Los Cabos next time.",5 months ago,Thank you for your kind comments regarding the service you received from our team members; the team will be happy to know how much you enjoyed your experience with them.From all the Cabo Adventures team we thank you for sharing your experience with other Adventurers and look forward to next time!,5
703,3 months ago,"The tour was fantastic! The crew went above and beyond, were very knowledgeable and we had an amazing time. Will definitely use them again when we come back.",,,5
